57820.92487656164  155.35 (2.02,-1.19)   5.53 (0.9,-0.98)
56062.95901934374  198.94 (1.71,-1.41)   32.0 (1.09,-0.97)
59204.52561869099  261.69 (2.28,-2.46)   41.81 (1.25,-1.14)
55913.33542794057  26.85 (3.69,-4.66)   7.03 (5.2,-4.04)
55806.09220290563  9.76 (2.86,-1.32)   7.59 (0.86,-0.87)
56740.08928629087  225.7 (5.67,-4.65)   51.06 (2.87,-4.0)
57246.31776017207  317.59 (5.1,-4.66)   30.09 (2.43,-2.31)
57553.52619622136  214.76 (3.16,-4.13)   40.82 (3.98,-3.33)
57257.62259727911  325.9 (3.47,-4.17)   -2.35 (2.09,-2.61)
57415.18345819237  263.76 (1.1,-1.8)   -14.9 (1.2,-1.08)
59173.40602495983  307.66 (5.19,-5.68)   40.72 (5.02,-2.75)
56076.54294700876  176.48 (6.64,-5.93)   22.87 (1.77,-2.7)
56246.33035012512  225.7 (1.01,-1.19)   8.88 (0.94,-0.95)
57811.06487576161  205.09 (1.89,-3.96)   4.26 (1.12,-1.09)
57984.2758042185  26.98 (1.85,-3.03)   18.88 (1.1,-1.11)
57865.64570820188  240.95 (3.34,-5.71)   5.53 (1.01,-0.83)
57719.66475003057  257.55 (36.46,-29.23)   73.27 (9.96,-5.71)
57682.30923513319  121.42 (2.64,-2.9)   23.72 (2.02,-1.93)
58949.97217001604  242.58 (10.2,-10.2)   11.61 (7.83,-6.19)
55834.44513646853  267.01 (1.19,-1.14)   -4.44 (0.79,-0.6)
58065.75475047243  269.65 (0.22,-0.18)   -20.7 (0.16,-0.16)
59121.74209304676  29.53 (0.53,-0.53)   3.47 (0.71,-0.34)
57312.67572957463  197.53 (2.46,-2.72)   19.95 (2.29,-3.01)
57243.32199463605  221.75 (0.31,-0.26)   -17.15 (0.16,-0.23)
57606.51496299994  122.78 (0.88,-1.23)   -0.71 (0.56,-0.56)
59118.32930116513  96.46 (0.7,-0.53)   -4.33 (0.6,-0.75)
55791.68864321097  332.45 (0.97,-1.23)   -2.09 (0.9,-0.93)
57288.0267907843  103.23 (0.7,-1.14)   3.96 (0.75,-0.6)
56420.64119743768  337.76 (3.21,-2.02)   26.24 (1.9,-2.69)
57709.33199321103  78.66 (1.85,-1.93)   1.6 (1.79,-1.9)
56658.40386364448  192.26 (2.07,-2.37)   -2.69 (0.71,-1.01)
57182.02652179277  49.53 (1.1,-1.1)   0.3 (0.82,-0.45)
