55695.06415108922  138.47 (6.68,-3.78)   -1.94 (1.12,-0.97)
55722.42607809128  272.55 (1.67,-2.42)   35.64 (1.05,-1.3)
55728.72979097178  71.15 (1.41,-2.07)   5.38 (0.9,-0.79)
55768.51080159916  151.08 (1.19,-1.71)   6.99 (0.83,-0.98)
55780.97970434913  336.8 (1.36,-1.98)   1.53 (0.78,-0.93)
55791.68864321097  332.45 (0.97,-1.23)   -2.09 (0.9,-0.93)
55806.09220290563  9.76 (2.86,-1.32)   7.59 (0.86,-0.87)
55811.79461555  196.08 (3.91,-2.68)   9.4 (1.06,-1.55)
55833.26046548522  121.45 (1.34,-1.29)   50.04 (0.15,-0.24)
55834.44513646853  267.01 (1.19,-1.14)   -4.44 (0.79,-0.6)
55846.86687056347  172.13 (1.4,-1.39)   44.7 (0.45,-0.79)
55885.96104031756  26.06 (1.89,-3.16)   9.82 (1.36,-1.4)
55885.97335470221  356.84 (0.53,-0.62)   -11.99 (0.27,-0.23)
55903.71892797326  165.19 (7.03,-4.13)   38.49 (3.49,-3.67)
55904.45690159585  99.98 (1.19,-2.02)   20.42 (2.02,-1.6)
55908.39772381761  247.85 (1.71,-1.58)   0.56 (1.42,-1.46)
55911.27685053114  36.74 (1.8,-2.24)   18.88 (2.82,-2.46)
55913.33542794057  26.85 (3.69,-4.66)   7.03 (5.2,-4.04)
55987.80691328732  237.96 (0.53,-0.62)   18.76 (0.51,-0.47)
56043.41532671855  183.56 (2.15,-2.02)   0.52 (0.71,-0.86)
56062.95901934374  198.94 (1.71,-1.41)   32.0 (1.09,-0.97)
56070.5742824046  171.08 (0.66,-1.41)   26.44 (0.37,-0.46)
56070.63865189075  343.78 (4.92,-4.48)   15.48 (1.54,-2.38)
56076.54294700876  176.48 (6.64,-5.93)   22.87 (1.77,-2.7)
56079.30557152734  119.31 (2.02,-0.92)   14.79 (0.73,-0.62)
56083.65455898678  152.58 (1.89,-2.42)   36.38 (1.47,-1.54)
56089.36416964872  39.95 (0.26,-0.26)   -15.09 (0.31,-0.19)
56146.20714663897  330.07 (0.83,-0.83)   1.42 (0.45,-0.6)
56186.30530486623  182.24 (1.36,-1.71)   3.88 (0.82,-0.67)
56211.77094169458  205.14 (0.66,-0.7)   -2.28 (0.56,-0.52)
56226.59949621974  169.8 (1.32,-1.41)   27.91 (0.88,-0.85)
56234.5075207242  123.18 (0.92,-0.97)   6.05 (0.56,-0.64)
56246.33035012512  225.7 (1.01,-1.19)   8.88 (0.94,-0.95)
58135.75220559863  206.1 (1.19,-1.14)   3.92 (0.78,-0.71)
58141.6770674525  77.12 (2.5,-2.9)   8.01 (0.49,-0.41)
58143.97573521594  207.51 (1.01,-0.57)   23.77 (0.57,-0.57)
58154.00422026594  17.4 (1.36,-0.92)   -10.54 (0.72,-0.76)
58162.37782304162  66.97 (2.46,-2.59)   6.09 (1.72,-1.95)
