name,flux,ra,dec
J0000-3221,0.256,0.0014835294278628668,-0.5646199937786984
J0000+4054,0.242,0.003860162668982743,0.7138484450110731
J0001-1551,0.214,0.00475084047457948,-0.27666898938462675
J0001+1914,0.273,0.004990301466004406,0.33584886835717853
J0001-0746,0.177,0.005674131720745141,-0.13568442634112224
J0002-5621,0.166,0.012614969889157371,-0.9835453126548866
J0003+2129,0.172,0.014497141099377898,0.37517068460674136
J0003-1727,0.15,0.014686564446534827,-0.30461752391598074
J0004-1148,0.569,0.017810720970008985,-0.20623191480877667
J0004-4345,0.184,0.017981092375773194,-0.7636307259868154
J0004+4615,0.196,0.018626128615453433,0.8073019047200842
J0004-4736,0.342,0.020046232705576775,-0.830871766483976
J0004+2019,0.301,0.020053708605261535,0.35479788870201506
J0005+5428,0.303,0.02213392814347003,0.9507435039357841
J0005-1648,0.155,0.0231207967891863,-0.2932379943069006
J0005+3820,0.536,0.025974527562311275,0.6691163245496364
J0005+1609,0.195,0.02612450770464802,0.2821083392204682
J0006-0623,2.374,0.02719025825123742,-0.11158149443307656
J0006+1235,0.222,0.02785662539598117,0.21987802512304955
J0006+2422,0.229,0.029728004435494042,0.4254549965972946
J0007+5706,0.206,0.03406799876747719,0.9966336135100792
J0007+1027,0.209,0.03459230971013235,0.18260167328244933
J0008-2339,0.325,0.0349334647829745,-0.41285836168281753
J0008+6837,0.269,0.037340801565407256,1.1976936506756963
J0009+4001,0.241,0.039573419545075234,0.6986490250177064
J0010-0433,0.3,0.043661495379931185,-0.07964764759878308
J0010+1058,0.282,0.04588804448617972,0.19154748223344178
J0010+1724,0.597,0.04610509944972191,0.30377824705072326
J0010-3027,0.241,0.04623247757824532,-0.531682649092464
J0010-2945,0.226,0.04691862163051984,-0.5192993369003679
J0010-4153,0.202,0.04745242083748731,-0.7310543298858223
J0010-2157,0.352,0.04753476823503439,-0.3831202306773187
J0011-2612,0.437,0.04808722006660614,-0.4574380807211906
J0011+0057,0.168,0.0502075385443792,0.016832135269071742
J0011+7045,0.521,0.050316593261028504,1.234973772427481
J0011+0823,0.297,0.05056143393898449,0.14658625938241285
J0011-1434,0.16,0.05093858671853723,-0.25425876330629854
J0011-8443,0.165,0.05133482481890464,-1.4786817709203535
J0012-3954,0.716,0.056716643560538016,-0.6965126905745339
J0013+4636,0.183,0.05792230224523911,0.8133654671995781
J0013+4051,0.581,0.058987053081777374,0.713147079554541
J0013-0423,0.294,0.06065971504131056,-0.07675713141791911
J0013+1910,0.15,0.0608229879021187,0.3347246539348587
J0014+6117,0.2,0.06463478575219943,1.069807043988176
J0015-1812,0.393,0.0656310724127256,-0.31789661199617786
J0015+3216,0.197,0.0658968996568281,0.5632240994657585
J0015-1807,0.161,0.06794599786553403,-0.3163195287994918
J0016-0015,0.45,0.0706195524094894,-0.004423659840966421
J0017+8135,1.031,0.07479280598416276,1.423937228332352
J0017-0512,0.218,0.07678119502377756,-0.09095961813051234
J0017+5312,0.531,0.0779405722309271,0.9286078673573832
J0017-2748,0.323,0.07846752662017852,-0.4853061212007376
J0019-2205,0.157,0.08456324683962191,-0.38556232280716346
J0019-5641,0.195,0.08483841188611078,-0.9895166390891428
J0019+4537,0.175,0.08501412072689375,0.7963699662036378
J0019+2021,0.956,0.08565599617529862,0.35539579428874063
J0019+2602,0.247,0.08579606546547791,0.45462082953533456
J0019-3031,0.335,0.08600657573521334,-0.5327101169569823
J0019+7327,1.614,0.08623281876643649,1.2820898651668198
J0020-4847,0.165,0.08891646567679151,-0.8514676904677836
J0021+7150,0.174,0.09183440754942968,1.2538288779627458
J0021+7312,0.187,0.09362056696122312,1.2777843006056213
J0022+4525,0.231,0.09647389827211554,0.7928345276900679
J0022+0014,0.26,0.09784212659538032,0.004344726404398983
J0022+0608,0.358,0.09835230066198254,0.107067557339588
J0023+4456,0.183,0.10293388114192108,0.7844079714509107
J0024-6820,0.235,0.10520865907683409,-1.1929063011129353
J0024+4644,0.165,0.10628601693561388,0.8156807395850568
J0024-4202,0.541,0.10784606363410164,-0.7336392107469872
J0024-0412,0.216,0.1080637490978361,-0.07331133631146476
J0025-2227,0.263,0.11084639966456641,-0.3920571724830464
J0025+3919,0.341,0.11098531754649375,0.686377099786954
J0025-2602,0.497,0.11265782380811326,-0.45442854811456473
J0026-3512,0.286,0.11463810659329512,-0.6145924509202817
J0027+5958,0.165,0.11804870160850704,1.0468725308442663
J0027+0929,0.172,0.11823105426325388,0.16579543874795855
J0027+2241,0.205,0.11892757335254484,0.39618037544468576
J0028+2000,0.293,0.12434150906129698,0.3491955090182232
J0029-0113,0.179,0.12660807762190707,-0.0214372934988382
J0029+0509,0.191,0.1267976026344929,0.09005349966367072
J0029+3456,0.784,0.12757210870708305,0.609858021388808
J0029+0554,0.491,0.12987404541959813,0.10317180457099706
J0030+7037,0.543,0.13194783356495712,1.232687562149635
J0030-4224,0.314,0.1321717933419084,-0.7402449576254331
J0030-0211,0.253,0.13321398216176206,-0.03837849701086095
J0031+5401,0.193,0.13539043660965366,0.9430136234534591
J0034+2126,0.165,0.14957759574379312,0.37428391568417063
J0034+2754,0.37,0.15151538543400903,0.48707155790623047
J0035+6130,0.165,0.15455694577779566,1.0735266258400644
J0035+1438,0.194,0.15592247196776807,0.2554094107886212
J0036+1007,0.314,0.1588080296924678,0.17685259358448369
J0037+6236,0.184,0.16175795457820466,1.0927375951862022
J0037-2145,0.17,0.16252112611902206,-0.3797289297436925
J0037+1109,0.276,0.1633367428403665,0.19485108352344416
J0037-3344,0.154,0.1635420379935749,-0.5889633641837537
J0037+0808,0.252,0.16378440110393563,0.14201674989046933
J0037-5307,0.462,0.16401439462955517,-0.9272263433098022
J0038+2303,0.271,0.16639543133637782,0.4024368692376891
J0038-2459,0.588,0.16687787517549205,-0.4360522616846864
J0038+1227,0.179,0.16711648226458042,0.21744498751895724
J0038-0207,0.362,0.1672992158374365,-0.03713938009775159
J0038-0329,0.164,0.1673184878357591,-0.061081490968977935
J0038+4137,0.378,0.16761295564199857,0.7263769474590586
J0038-2120,0.158,0.16798465514030347,-0.3723563958748837
J0039-0942,0.15,0.17062714485979083,-0.16952426352419603
J0039+1411,0.22,0.17305082039657202,0.24782490837900562
J0039+4900,0.215,0.17358745532724165,0.8553721697856718
J0040-5903,0.351,0.17510373120430686,-1.0308727334476784
J0040-3243,0.211,0.17580852286336404,-0.5711484542296145
J0040-0146,0.531,0.17872255672564083,-0.030989416693522735
J0041+3211,0.16,0.18005500136319455,0.5617418166393139
J0042-4030,0.266,0.1833486192486721,-0.7070510224380705
J0042+2320,0.53,0.18359010562197192,0.407248640901785
J0042+5708,0.819,0.18467413805614366,0.9973421553241631
J0042+1009,0.216,0.18648637363234857,0.17738948536944157
J0044-8422,0.286,0.1939271148228812,-1.472669977088135
J0044+6803,0.199,0.19567755956219104,1.1877095780291345
J0045-3705,0.34,0.197227011821231,-0.6474612368433551
J0046+2456,0.32,0.20128196792459083,0.43532644338963195
J0047+5657,0.23,0.2051073703980247,0.9941705445588429
J0047+0319,0.172,0.2055066101010953,0.058152360541966444
J0047+2435,0.209,0.20826660294892033,0.4291376480094314
J0048+2235,0.177,0.20962979788806646,0.39427046149878425
J0048+3157,0.284,0.2128677354070823,0.5577543107483928
J0049-4457,0.256,0.2150117677461242,-0.7845796252131022
