Name    Riseb   Fadeb   ΔFIR/Frms   ΔFIR    z   MBH PAGN    Spectro.
AT2019dsg	58620.2	32.1	81.9	92.2	1.58 ± 0.02	0.0512	6.74 (C21)	0.000	TDE
AT2019fdr	58672.5	30.8	336.6	39.2	0.71 ± 0.07	0.2666	7.10 (F20)	0.000	TDE?
AT2019aalc	58658.2	49.0	167.7	15.7	11.13 ± 0.10	0.0356	7.23 (L19)	0.146	TDE?
AT2018dyk	58261.4	60.0	342.0	23.8	1.41 ± 0.03	0.0367	5.50 (F19)	0.000	TDE?
AT2019aame	58363.2	–	138.0	12.3	0.18 ± 0.01	–	–	0.540	–
AT2018lzs	58378.2	134.0	15.5	3.3	0.03 ± 0.01	–	–	3.651	–
AT2021aetz	58390.3	8.6	–	47.5	0.81 ± 0.01	0.0879	6.21 (T13)	0.000	TDE?
AT2018ige	58432.5	–	67.9	65.8	0.31 ± 0.01	–	–	0.000	–
AT2021aeud	58448.3	137.6	282.7	6.2	0.15 ± 0.01	–	–	3.937	–
AT2018iql	58449.4	17.9	41.0	30.1	0.48 ± 0.01	–	–	0.000	–
AT2018jut	58449.6	–	–	5.0	0.12 ± 0.01	–	–	5.424	–
AT2021aeue	58475.1	48.5	48.8	4.9	0.11 ± 0.01	–	–	5.552	–
AT2019aamf	58506.4	80.0	141.2	6.6	0.19 ± 0.01	–	–	3.395	–
AT2018kox	58510.2	26.9	167.6	5.6	0.33 ± 0.01	0.096	–	4.668	TDE?
AT2018lhv	58513.5	17.5	116.1	32.3	0.35 ± 0.01	–	–	0.000	–
AT2019avd	58534.3	14.9	52.9	67.5	1.87 ± 0.05	0.0296	6.10 (F20)	0.000	TDE?
AT2016eix	58539.4	104.2	43.1	6.9	0.16 ± 0.01	–	–	2.922	–
AT2019aamg	58540.5	–	93.7	8.3	0.14 ± 0.00	–	–	1.612	–
AT2018lcp	58547.2	95.7	297.4	12.7	0.16 ± 0.01	0.06	–	0.482	TDE?
AT2021aeuf	58556.4	17.0	137.5	15.6	0.18 ± 0.01	–	–	0.155	–
AT2020aezy	58558.4	82.5	359.8	4.8	0.06 ± 0.01	–	–	5.623	–
AT2019cle	58568.4	9.2	54.8	19.4	0.25 ± 0.01	–	–	0.012	–
AT2019aamh	58582.5	–	154.5	7.7	0.40 ± 0.01	–	–	2.095	–
AT2019dll	58605.2	29.6	–	6.8	0.26 ± 0.01	0.101	7.48 (T13)	3.109	TDE?
